Code,Check-in Time,Check-out Time,Cancellation Policy,Pets Policy,Payment Methods,Payment Type Number
25,From 3:00 PM to 6:00 PM,From 8:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,"American Express, Visa, Mastercard, Maestro, Cash",5
26,From 12:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card, Cash",9
27,From 2:00 PM to 6:00 PM,From 11:00 AM to 1:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
28,From 2:00 PM,Until 1:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are allowed on request. Charges may apply.,"Visa, Mastercard, Maestro, Cash",4
29,Available 24 hours,Available 24 hours,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
30,From 1:00 PM to 11:30 PM,From 12:00 PM to 2:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
31,From 2:00 PM to 10:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
32,From 2:00 PM to 11:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are not allowed.,,0
33,From 11:00 AM to 12:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
34,From 2:00 PM to 11:30 PM,From 1:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, JCB, Maestro, Discover, UnionPay credit card, Cash",8
35,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,,0
36,From 2:00 PM to 10:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are allowed on request. Charges may apply.,"American Express, Visa, Mastercard, Cash",4
37,From 2:00 AM to 11:00 PM,From 9:00 AM to 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"Visa, Mastercard, Maestro, Cash",4
38,From 2:00 PM to 6:00 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed on request. Charges may apply.,,0
39,From 2:00 PM to 12:00 AM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Free!Pets are allowed. No extra charges.,"American Express, Visa, Mastercard, Maestro, UnionPay credit card, Cash",6
40,From 2:00 PM to 12:00 AM,Available 24 hours,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
41,From 2:00 PM to 12:00 AM,From 12:00 PM to 12:30 PM,Free cancellationanytime,Free!Pets are allowed on request. No extra charges.,"American Express, Visa, Mastercard, Maestro",4
42,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are allowed. Charges may apply.,,0
43,From 2:00 PM to 12:00 AM,Until 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed on request. No extra charges.,"Visa, Mastercard, Maestro, Discover",4
44,From 2:00 PM to 12:00 AM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"Visa, Cash",2
45,From 2:00 PM to 12:00 AM,From 6:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are not allowed.,,0
46,From 2:00 PM to 11:30 PM,From 9:30 AM to 11:00 AM,Free cancellationanytime,Free!Pets are allowed. No extra charges.,"Visa, Mastercard, Cash",3
47,From 1:00 PM,From 11:00 AM to 11:30 AM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Cash",4
48,From 12:30 PM to 11:30 PM,From 11:00 AM to 11:30 AM,Free cancellationanytime,Pets are not allowed.,,0
49,From 2:00 PM to 4:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed. Charges may apply.,"American Express, Visa, Mastercard, Cash",4
50,From 2:00 PM to 12:00 AM,From 6:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
51,From 2:00 PM to 12:00 AM,From 12:00 PM to 2:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"Visa, Mastercard, Cash",3
52,From 2:00 PM to 9:00 PM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"Visa, Mastercard, Maestro, Cash",4
53,From 2:00 PM to 10:00 PM,From 8:00 AM to 11:00 AM,"Free cancellationbefore May 2, 2025",Free!Pets are allowed. No extra charges.,"American Express, Visa, Mastercard, Maestro, Cash",5
54,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Cash",4
55,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed on request. Charges may apply.,"Visa, Mastercard, Cash",3
56,From 2:00 PM,From 9:00 AM to 12:00 PM,,Pets are not allowed.,"Visa, Mastercard, Cash",3
57,From 2:00 PM to 9:00 PM,From 12:00 PM to 12:30 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card",8
58,From 2:00 PM,Until 1:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,,0
59,From 2:00 PM to 9:00 PM,From 7:00 AM to 11:00 AM,"Free cancellationbefore May 3, 2025",Free!Pets are allowed. No extra charges.,"American Express, Visa, Mastercard, Cash",4
60,From 12:00 PM to 2:00 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
61,From 2:00 PM to 10:00 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
62,From 2:00 PM to 8:00 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
63,From 2:00 PM to 11:00 PM,From 12:00 AM to 12:00 PM,"Free cancellationbefore April 28, 2025",Free!Pets are allowed. No extra charges.,,0
64,From 2:00 PM to 10:00 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
65,From 3:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,,Free!Pets are allowed on request. No extra charges.,"American Express, Visa, Mastercard, Cash",4
66,From 2:00 PM to 12:00 AM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,"American Express, Visa, Mastercard, UnionPay credit card, Cash",5
67,From 2:00 PM to 8:00 PM,Available 24 hours,"Free cancellationbefore May 4, 2025",Free!Pets are allowed on request. No extra charges.,"Visa, Mastercard",2
68,From 2:00 PM to 12:00 AM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
69,From 12:00 PM to 1:00 PM,From 9:00 AM to 12:00 PM,,Free!Pets are allowed on request. No extra charges.,,0
70,,,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"Visa, Mastercard, Cash",3
71,From 2:00 PM to 4:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, Cash",5
72,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore 4:00 PM on May 5, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro",4
73,From 2:00 PM to 10:00 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
74,From 12:00 PM,Until 11:00 AM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,,0
75,From 3:00 PM to 9:00 PM,From 9:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
76,From 2:00 PM to 5:00 PM,From 9:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Cash",4
77,From 2:00 PM to 6:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
78,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are allowed on request. Charges may apply.,"American Express, Visa, Mastercard, JCB, Maestro, UnionPay credit card, Cash",7
79,From 2:00 PM to 10:00 PM,From 9:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
80,From 2:00 PM to 10:00 PM,From 8:00 AM to 11:00 AM,,Pets are not allowed.,"Visa, Cash",2
81,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,"Visa, Mastercard, Cash",3
82,From 12:00 PM to 11:00 PM,From 8:00 AM to 2:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
83,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"Visa, Mastercard, Maestro, Cash",4
84,From 8:00 AM to 10:00 PM,From 8:00 AM to 10:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
85,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
86,From 2:00 PM,Until 11:00 AM,"Free cancellationbefore April 21, 2025",Free!Pets are allowed on request. No extra charges.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card, Cash",9
87,From 1:00 PM,Until 11:30 AM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card, Cash",9
88,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
89,From 2:00 PM to 11:00 PM,Available 24 hours,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
90,From 2:00 PM,Until 11:00 AM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card, Cash",9
91,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, Cash",5
92,From 2:00 PM to 11:30 PM,From 9:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are allowed on request. Charges may apply.,,0
93,From 3:00 PM to 9:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Free!Pets are allowed. No extra charges.,"Visa, Maestro",2
94,From 12:00 PM to 11:00 PM,From 7:00 AM to 1:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
95,From 2:00 PM to 12:00 AM,Available 24 hours,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
96,From 1:00 PM to 11:00 PM,From 8:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
97,From 2:00 PM to 11:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Free!Pets are allowed. No extra charges.,,0
98,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"Visa, Mastercard, Maestro, Cash",4
99,From 2:00 PM to 11:30 PM,From 7:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are allowed on request. Charges may apply.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card, Cash",9
100,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are allowed. Charges may apply.,"Visa, Mastercard, Maestro, Cash",4
101,From 2:00 PM to 12:00 AM,From 12:00 PM to 12:30 PM,"Free cancellationbefore April 30, 2025",Pets are allowed on request. Charges may apply.,"American Express, Visa, Mastercard, JCB, Maestro, UnionPay credit card, Cash",7
102,From 12:00 PM to 9:00 PM,Until 10:00 AM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,,0
103,From 2:00 PM,From 9:00 AM to 12:00 PM,"Free cancellationbefore April 28, 2025",Free!Pets are allowed on request. No extra charges.,"Visa, Mastercard, Maestro",3
104,From 3:00 PM to 6:00 PM,From 8:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
105,From 3:00 PM to 6:30 PM,From 7:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro",4
106,From 3:00 PM,Until 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,"Visa, Mastercard, Diners Club, Maestro, Discover, Cash",6
107,From 2:00 PM to 12:00 AM,From 11:00 AM to 12:00 PM,,Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card, Cash",9
108,From 2:30 PM,Until 11:30 AM,,Free!Pets are allowed. No extra charges.,"Visa, Mastercard, Maestro",3
109,From 2:00 PM,Until 12:30 PM,"Free cancellationbefore April 21, 2025",Free!Pets are allowed on request. No extra charges.,"Visa, Mastercard, Maestro, Cash",4
110,From 2:00 PM to 11:00 PM,Until 12:00 PM,"Free cancellationbefore May 3, 2025",Free!Pets are allowed. No extra charges.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro",6
111,From 3:00 PM to 11:00 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed on request. Charges may apply.,,0
112,From 2:00 PM to 9:00 PM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
113,From 2:00 PM,From 12:00 PM to 12:30 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, Maestro, Cash",6
114,From 2:00 PM to 12:00 AM,From 9:00 AM to 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, UnionPay credit card, Cash",6
115,From 3:00 PM to 12:00 AM,From 8:00 AM to 12:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,,0
116,From 1:00 PM to 12:30 AM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Free!Pets are allowed on request. No extra charges.,,0
117,From 2:00 PM to 12:00 AM,From 11:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card",8
118,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
119,From 2:00 PM to 10:00 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
120,From 2:00 PM to 11:00 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
121,From 2:00 PM to 3:00 PM,From 8:00 AM to 12:00 PM,,Pets are not allowed.,"Visa, Mastercard, Cash",3
122,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"Visa, Mastercard",2
123,From 11:00 AM to 3:00 PM,From 9:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
124,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,,0
125,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are allowed on request. Charges may apply.,"Visa, Mastercard, Maestro, Cash",4
126,From 2:00 PM to 3:00 PM,From 12:00 PM to 12:30 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,,0
127,From 2:00 PM to 3:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed on request. Charges may apply.,"Visa, Mastercard, Diners Club",3
128,From 1:00 PM to 8:00 PM,From 10:30 AM to 12:00 PM,"Free cancellationbefore April 5, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, Cash",5
129,From 2:00 PM to 11:30 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Diners Club, JCB, Maestro, Discover, UnionPay credit card, Cash",9
130,From 2:00 PM to 10:00 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
131,Available 24 hours,From 8:00 AM to 11:00 AM,Free cancellationanytime,Pets are not allowed.,"Visa, Mastercard, Cash",3
132,From 2:00 PM to 11:30 PM,From 11:30 AM to 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,,0
133,From 2:00 PM to 12:00 AM,From 12:00 AM to 11:00 AM,,Pets are not allowed.,,0
134,From 2:00 PM to 9:30 PM,From 9:00 AM to 11:00 AM,"Free cancellationbefore April 5, 2025",Pets are not allowed.,,0
135,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
136,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
137,From 11:00 AM to 12:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Free!Pets are allowed. No extra charges.,,0
138,From 2:00 PM to 8:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
139,From 2:00 PM to 10:00 PM,From 10:30 AM to 12:30 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
140,From 2:00 PM to 9:00 PM,From 6:00 AM to 12:30 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,"Visa, Mastercard, Maestro, Cash",4
141,From 1:00 PM to 3:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
142,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
143,From 2:00 PM to 11:30 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed on request. No extra charges.,"Visa, Mastercard, Cash",3
144,From 1:00 PM to 2:00 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore April 21, 2025",Free!Pets are allowed on request. No extra charges.,Visa,1
145,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
146,From 3:00 PM to 11:30 PM,From 9:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
147,From 2:00 PM to 11:30 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
148,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,"Visa, Mastercard",2
149,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed on request. Charges may apply.,"American Express, Visa, Mastercard, Maestro, UnionPay credit card, Cash",6
150,From 2:00 PM to 3:00 PM,From 12:00 PM to 1:00 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,,0
151,From 1:00 PM to 2:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
152,From 3:00 PM,Until 2:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
153,From 3:00 PM to 6:00 PM,From 8:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
154,From 2:00 PM to 11:30 PM,From 12:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
155,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are allowed on request. Charges may apply.,"Visa, Mastercard, Cash",3
156,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
157,From 2:00 PM to 10:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, Cash",5
158,From 2:00 PM to 12:00 AM,From 12:00 PM to 12:30 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed on request. No extra charges.,"Visa, Maestro",2
159,From 2:00 PM to 12:00 AM,Available 24 hours,"Free cancellationbefore April 21, 2025",Pets are not allowed.,,0
160,From 2:00 PM to 12:00 AM,Until 1:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,"Visa, Mastercard, JCB, Maestro, Cash",5
161,From 2:00 PM to 11:30 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, Cash",5
162,From 2:00 PM to 12:00 AM,From 11:00 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Cash",4
163,From 2:00 PM to 3:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
164,From 3:00 PM to 12:00 AM,From 11:00 AM to 11:30 AM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
165,From 2:00 PM to 12:00 AM,From 12:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
166,From 2:00 PM to 11:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are not allowed.,Visa,1
167,From 2:00 PM to 2:30 PM,From 11:00 AM to 12:00 PM,,Pets are not allowed.,"American Express, Visa, Mastercard, Cash",4
168,From 2:00 PM to 12:00 AM,From 6:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are not allowed.,,0
169,From 2:00 PM to 3:00 PM,Available 24 hours,"Free cancellationbefore April 28, 2025",Pets are allowed on request. Charges may apply.,,0
170,From 2:00 PM to 7:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,,0
171,From 2:00 PM,Until 12:00 PM,,Pets are not allowed.,"Visa, Mastercard, Cash",3
172,From 2:30 PM to 12:00 AM,From 11:30 AM to 12:00 PM,,Free!Pets are allowed. No extra charges.,"Visa, Mastercard, Discover, Cash",4
173,From 2:00 PM to 11:30 PM,From 8:30 AM to 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
174,From 10:00 AM to 7:00 PM,From 8:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
175,From 2:00 PM to 12:00 AM,From 1:00 AM to 12:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are allowed. Charges may apply.,"American Express, Visa, Mastercard, Cash",4
