Code,General Facilities,Facility Count,Room Type Number
11,"Dining table, Electric kettle, Refrigerator, Kitchenette, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Sitting area, Flat-screen TV, Cable channels, TV, Socket near the bed, Sofa bed, Private entrance, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, BBQ facilities, Patio, Balcony, Terrace, Garden, Tea/Coffee maker, Mountain view, Garden view, View, Board games/Puzzles, Books, DVDs or music for children, Air conditioning, Smoke-free property, Heating, Family rooms, CCTV outside property, English, Armenian, Russian",44,1
12,"Electric vehicle charging station, Kitchen, Washing machine, Flat-screen TV, Heating, Garden view, View, Air conditioning, Smoke-free property, English, Russian",11,1
13,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Shower, Linens, Wardrobe or closet, City view, Landmark view, Mountain view, Garden view, Outdoor dining area, Patio, Terrace, Garden, Shared kitchen, Dining table, Cleaning products, Stovetop, Oven, Kitchenware, Electric kettle, Washing machine, Refrigerator, Kitchenette, Socket near the bed, Clothes rack, Ski storage, CyclingOff-site, Hiking, SkiingOff-site, FishingAdditional chargeOff-site, Dining area, TV, Tea/Coffee maker, Street parking, Accessible parking, Private check-in/out, Express check-in/out, 24-hour front desk, Daily housekeepingAdditional charge, LaundryAdditional charge, Fax/Photocopying, Fire extinguishers, Key access, 24-hour security, Shuttle serviceAdditional charge, Designated smoking area, Wake-up service, Hardwood or parquet floors, Heating, Carpeted, Airport shuttleAdditional charge, Non-smoking rooms, Iron, Wake-up service/Alarm clock, Entire unit located on ground floor, English, Armenian, Russian",63,2
14,"Street parking, Shared kitchen, Dining table, Cleaning products, Stovetop, Oven, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Linens, Wardrobe or closet, Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Shower, Dining area, Sofa, Desk, Flat-screen TV, Cable channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hardwood or parquet floors, Soundproof, Private entrance, Carpeted, Fan, Ironing facilities, Iron, Upper floors accessible by stairs only, Barbecue, Balcony, Shared lounge/TV area, Tea/Coffee maker, Ski storage, HikingOff-site, SkiingOff-site, FishingAdditional chargeOff-site, Inner courtyard view, City view, Landmark view, Mountain view, Garden view, View, Private apartment in building, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Express check-in/outAdditional charge, Heating, Family rooms, Non-smoking rooms, English, Armenian, Russian",63,1
15,"Dining table, Stovetop, Oven, Dryer, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Wardrobe or closet, Walk-in closet, Towels, Bathtub or shower, Private bathroom, Toilet, Hairdryer, Shower, Dining area, Sofa, Game console, Flat-screen TV, Cable channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Private entrance, Iron, Entire unit located on ground floor, Garden, Tea/Coffee maker, View, Heating, Family rooms, Non-smoking rooms, English, Armenian, Russian",39,1
16,"Dining table, Cleaning products, Electric kettle, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Towels, Bidet, Guest bathroom, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Shower, Dining area, Sofa, Sitting area, Flat-screen TV, TV, Socket near the bed, Sofa bed, Fold-up bed, Clothes rack, Mosquito net, Private entrance, Heating, Fan, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Patio, Balcony, Terrace, Garden, Movie nightsOff-site, Mountain view, Garden view, View, Semi-detached, Board games/Puzzles, Books, DVDs or music for children, Board games/puzzles, Air conditioning, Smoke-free property, Family rooms, Non-smoking rooms, English, Russian",55,1
17,"Private bathroom, Terrace, Garden, HikingOff-site, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, ATM on site, Convenience store on site, Smoke-free property, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, Smoke alarms, English, Armenian, Russian",19,1
18,"Dining table, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Bathtub or shower, Private bathroom, Toilet, Hairdryer, Shower, Sofa, Desk, Flat-screen TV, Cable channels, TV, Sofa bed, Drying rack for clothing, Clothes rack, Private entrance, Heating, Entire unit located on ground floor, Tea/Coffee maker, Mountain view, Garden view, View, Semi-detached, Smoke-free property, Carbon monoxide detector, English, Russian",38,1
19,"Kitchenette, Flat-screen TV, Heating, Garden view, View, Smoke-free property, English, Russian",8,1
20,"Electric vehicle charging station, Kitchen, Washing machine, Kitchenette, Flat-screen TV, Heating, Balcony, Garden view, View, English, Russian",11,1
21,"Dining table, Cleaning products, Toaster, Stovetop, Kitchenware, Electric kettle, Kitchen, Refrigerator, Linens, Wardrobe or closet, Towels, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Bathtub, Dining area, Sofa, Desk, Satellite channels, TV, Clothes rack, Mosquito net, Hardwood or parquet floors, Soundproof, Private entrance, Carpeted, Ironing facilities, Iron, Balcony, Grocery deliveries, Packed lunches, Breakfast in the room, Tea/Coffee maker, City view, Mountain view, Garden view, View, Private apartment in building, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Invoice provided, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, Heating, Family rooms, Non-smoking rooms, English, Russian",51,1
22,"Washing machine, Kitchenette, Flat-screen TV, Heating, Balcony, View, Smoke-free property, Russian",8,1
23,"Kitchen, Washing machine, Private bathroom, Flat-screen TV, Air conditioning, Terrace, View, Russian",8,1
24,"Kitchen, Flat-screen TV, Heating, Balcony, Terrace, Garden, Garden view, View, Smoke-free property, Family rooms, Non-smoking rooms, English, French, Russian",14,1
25,"Shared kitchen, Dining table, Cleaning products, Oven, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Hairdryer, Bathtub, Shower, Dining area, Sofa, Sitting area, Desk, Flat-screen TV, Sofa bed, Private entrance, Carpeted, Iron, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, BBQ facilitiesAdditional charge, Patio, Terrace, Garden, FruitAdditional charge, Wine/ChampagneAdditional charge, Kids' mealsAdditional charge, Breakfast in the room, Bar, Room service, Minibar, Tea/Coffee maker, Cooking classAdditional charge, Bike toursAdditional charge, Horseback riding, CyclingOff-site, HikingAdditional chargeOff-site, FishingOff-site, River view, Landmark view, Mountain view, Garden view, Lake view, View, Shuttle serviceAdditional charge, Car rental, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Concierge, Tour desk, Express check-in/out, 24-hour front desk, Outdoor play equipment for kids, Indoor play area, Daily housekeeping, Ironing service, LaundryAdditional charge, Designated smoking area, Air conditioning, Smoke-free property, Hypoallergenic room available, Heating, Soundproof rooms, Fire extinguishers, Smoke alarms, Security alarm, 24-hour security, Safe, English, Armenian, Russian",88,1
26,"Coffee house on site, FruitAdditional charge, Wine/ChampagneAdditional charge, Bar, Restaurant, Invoice provided, ATM on site, 24-hour front desk, Daily housekeeping, Ironing service, Laundry, Fax/Photocopying, Fire extinguishers, Smoke alarms, 24-hour security, Grocery deliveriesAdditional charge, Convenience store on site, Air conditioning, Heating, Packed lunches, Chapel/Shrine, Soundproof rooms, Family rooms, Hair/Beauty salon, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Wheelchair accessible, English, Russian",31,7
27,"Slippers, Outdoor fireplace, Picnic area, Terrace, Garden, Cleaning products, Bike toursAdditional charge, Walking toursAdditional charge, Badminton equipment, Tennis equipment, FruitAdditional charge, Kids' meals, Private check-in/out, Express check-in/out, Fire extinguishers, Smoke alarms, Security alarm, Air conditioning, Smoke-free property, Heating, Family rooms, Non-smoking rooms, English, Russian",24,1
28,"Toilet paper, Towels, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Shower, Linens, City view, Mountain view, Garden view, View, Outdoor fireplace, Picnic area, Outdoor furniture, Sun deck, BBQ facilitiesAdditional charge, Terrace, Garden, Socket near the bed, Drying rack for clothing, Clothes rack, Bicycle rental, Cooking classAdditional charge, Tour or class about local cultureAdditional charge, Themed dinnersAdditional charge, Bike toursAdditional charge, Walking toursAdditional charge, Movie nights, Evening entertainment, Nightclub/DJAdditional charge, Entertainment staff, Horseback ridingAdditional charge, Cycling, HikingAdditional charge, KaraokeAdditional charge, Skiing, FishingAdditional charge, Sitting area, Desk, Satellite channels, Telephone, TV, FruitAdditional charge, Wine/ChampagneAdditional charge, Special diet meals (on request), Breakfast in the room, Bar, Restaurant, Street parking, Public transit ticketsAdditional charge, Private check-in/out, ATM on site, Baggage storage, Tour desk, Express check-in/out, 24-hour front desk, Ironing serviceAdditional charge, Dry cleaning, LaundryAdditional charge, Fax/PhotocopyingAdditional charge, Business center, Meeting/Banquet facilitiesAdditional charge, Key access, 24-hour security, Safe, Shuttle serviceAdditional charge, Convenience store on site, Shared lounge/TV area, Hypoallergenic, Air conditioning, Wake-up service, Hardwood or parquet floors, Heating, Soundproof, Packed lunches, Soundproof rooms, Ironing facilities, Airport shuttleAdditional charge, Non-smoking rooms, Room service, MassageAdditional charge, English, Russian",85,5
29,"Toilet paper, Towels, Guest bathroom, Bathtub or shower, Private bathroom, Toilet, Free toiletries, Shower, Mountain view, Garden view, View, Picnic area, Outdoor furniture, Terrace, Garden, Tennis equipment, Horseback ridingAdditional chargeOff-site, Game room, Sofa, Sitting area, Breakfast in the room, Private check-in/out, Room service, Air conditioning, Tile/Marble floor, Heating, Chapel/Shrine, Family rooms, English, Russian",30,2
30,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Walk-in closet, Inner courtyard view, Garden view, View, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilities, Garden, Dining table, Cleaning products, Toaster, Electric kettle, Socket near the bed, Drying rack for clothing, Clothes rack, Dining area, Sofa, Sitting area, Desk, Flat-screen TV, TV, Pay-per-view channels, Tea/Coffee maker, Shuttle serviceAdditional charge, Daily housekeeping, Lockers, ATM on site, Airport shuttleAdditional charge, Wake-up service/Alarm clock, 24-hour front desk, Board games/Puzzles, Smoke alarms, Key access, 24-hour security, Carbon monoxide detector, Convenience store on site, Air conditioning, Smoke-free property, Mosquito net, Hardwood or parquet floors, Heating, Soundproof, Private entrance, Carpeted, Soundproof rooms, Family rooms, Ironing facilities, Non-smoking rooms, Iron, English, Russian",65,1
31,"Kitchen, Washing machine, Flat-screen TV, Balcony, Terrace, Garden view, Air conditioning, Smoke-free property, Russian",9,1
32,"Toilet paper, Towels, Guest bathroom, Bathtub or shower, Slippers, Private bathroom, Toilet, Hairdryer, Shower, Wardrobe or closet, View, Picnic area, Outdoor furniture, BBQ facilitiesAdditional charge, Balcony, Garden, Electric kettle, Clothes rack, Live music/PerformanceOff-site, Tour or class about local cultureAdditional charge, Bike tours, Walking tours, Movie nightsOff-site, Stand-up comedyOff-site, Badminton equipment, Tennis equipment, HikingAdditional charge, Flat-screen TV, Special diet meals (on request), Bar, Tour desk, Dry cleaning, 24-hour front desk, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Fire extinguishers, Security alarm, Convenience store on site, Heating, Soundproof, Chapel/Shrine, Beach umbrellas, English, Russian",45,2
33,"Toilet paper, Towels, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, Garden view, View, Kitchenware, Electric kettle, Tea/Coffee maker, Smoke-free property, Heating, Russian",18,1
34,"Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, Mountain view, Garden view, View, Outdoor fireplace, Outdoor furniture, Terrace, Garden, Dining table, Coffee machine, Cleaning products, Electric kettle, Refrigerator, Clothes rack, Playground, Dining area, Sitting area, Flat-screen TV, TV, Breakfast in the room, Bar, Minibar, Restaurant, Tea/Coffee maker, Street parking, Accessible parking, Daily housekeeping, Lockers, Baggage storage, Fax/Photocopying, 24-hour front desk, Room service, Invoice provided, Outdoor play equipment for kids, Indoor play area, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, 24-hour security, Safe, Designated smoking area, Smoke-free property, Mosquito net, Tile/Marble floor, Heating, Soundproof, Private entrance, Laptop safe, Soundproof rooms, Family rooms, Non-smoking rooms, Entire unit located on ground floor, English, Armenian, Russian",68,3
35,"Dining table, Electric kettle, Kitchen, Refrigerator, Kitchenette, Wardrobe or closet, Toilet paper, Towels, Bathtub or shower, Private bathroom, Toilet, Free toiletries, Bathtub, Sofa, Flat-screen TV, Cable channels, TV, Sofa bed, Clothes rack, Heating, Iron, Balcony, Terrace, Garden, Hot tub/Jacuzzi, Inner courtyard view, Mountain view, Garden view, View, Air conditioning, Smoke-free property, Family rooms, Non-smoking rooms, Russian",34,1
36,"Private bathroom, Outdoor fireplace, Picnic area, Sun deck, BBQ facilitiesAdditional charge, Terrace, Garden, Opening times, Open all year, Suitable for kids, Hot tub/JacuzziAdditional charge, Packed lunches, Breakfast in the room, Room service, AerobicsAdditional charge, Tour or class about local cultureAdditional charge, Walking toursAdditional charge, Badminton equipment, Tennis equipment, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Baby safety gates, Board games/Puzzles, Ironing serviceAdditional charge, LaundryAdditional charge, Designated smoking area, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV in common areas, Key access, English, Armenian, Russian",38,1
37,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Shower, Wardrobe or closet, Mountain view, View, Outdoor fireplace, Picnic area, Outdoor furniture, BBQ facilities, Terrace, Garden, Shared kitchen, Electric kettle, Flat-screen TV, TV, Wine/ChampagneAdditional charge, Bar, Restaurant, Invoice provided, Private check-in/out, Express check-in/out, 24-hour front desk, Baby safety gates, Board games/Puzzles, Daily housekeeping, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV in common areas, Key access, Shuttle serviceAdditional charge, Designated smoking area, Heating, Packed lunches, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Kids' pool, English, Russian",45,9
38,"Private bathroom, Terrace, Garden, Smoke-free property, Heating, English, Russian",7,1
39,"Kitchen, Kitchenette, Flat-screen TV, Heating, Balcony, Terrace, Garden, Garden view, View, Family rooms, Non-smoking rooms, German, English, French, Russian",15,1
40,"Coffee machine, Electric kettle, Kitchen, Washing machine, Refrigerator, Linens, Toilet paper, Towels, Bathtub or shower, Slippers, Toilet, Bathrobe, Hairdryer, Shower, Sofa, Sitting area, Socket near the bed, Clothes rack, Private entrance, Carpeted, Heating, Ironing facilities, Iron, Outdoor furniture, Outdoor dining area, Balcony, Terrace, Garden, Tea/Coffee maker, Garden view, View, Fire extinguishers, Smoke alarms, Carbon monoxide detector, English, Russian",36,1
41,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Hairdryer, Shower, Linens, Wardrobe or closet, Landmark view, Mountain view, View, Outdoor fireplace, Picnic area, Outdoor furniture, BBQ facilitiesAdditional charge, Balcony, Terrace, Garden, Electric kettle, Socket near the bed, Game room, Sofa, Desk, FruitAdditional charge, Wine/ChampagneAdditional charge, Bar, Restaurant, Tea/Coffee maker, Street parking, Daily housekeeping, Baggage storage, Wake-up service, Babysitting/Child servicesAdditional charge, 24-hour front desk, Room service, Indoor play area, Board games/Puzzles, Smoke alarms, Key access, Safe, Heating, Soundproof, Family rooms, Non-smoking rooms, Upper floors accessible by stairs only, English, Russian",49,5
